LFQ intensity 1	LFQ intensity 2	LFQ intensity 3	LFQ intensity 4	LFQ intensity 5	LFQ intensity 6	LFQ intensity 7	LFQ intensity 8	LFQ intensity 9	LFQ intensity 10	LFQ intensity 11	LFQ intensity 12	Keywords	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)	Student's T-test Significant LIM_Fe10uM	Student's T-test significant	-Log Student's T-test p-value LIM_Fe10uM	Student's T-test q-value LIM_Fe10uM	Student's T-test Difference LIM_Fe10uM	Student's T-test Test statistic LIM_Fe10uM	T: Protein IDs	T: Majority protein IDs
#!{Type}E	E	E	E	E	E	E	E	E	E	E	E	C	C	C	C	C	C	N	N	N	N	T	T
#!{C:Grouping1}LIM	LIM	LIM	LIM	Fe10uM	Fe10uM	Fe10uM	Fe10uM	Fe100uM	Fe100uM	Fe100uM	Fe100uM												
35.2467994689941	35.2186012268066	35.4227981567383	35.3227005004883	35.1809005737305	35.3983001708984	35.2350997924805	35.2588005065918	35.1267013549805	35.1952018737793	35.2351989746094	35.168098449707	Amino-acid biosynthesis;ATP-binding;Kinase;Multifunctional enzyme;NADP;Nucleotide-binding;Oxidoreductase;Threonine biosynthesis;Transferase	lysine biosynthetic process via diaminopimelate [GO:0009089];phosphorylation [GO:0016310];threonine biosynthetic process [GO:0009088]		aspartate kinase activity [GO:0004072];ATP binding [GO:0005524];homoserine dehydrogenase activity [GO:0004412];NADP binding [GO:0050661]			0.210895444027301	0.891274891774892	0.034449577331543	0.0323460038972499	A6T4E2	A6T4E2
32.8078994750977	32.7355003356934	32.6711006164551	32.551399230957	32.7118988037109	32.5714988708496	32.524600982666	32.6026000976563	32.2753982543945	32.4267997741699	32.2939987182617	32.4065017700195	Amino-acid biosynthesis;ATP-binding;Cytoplasm;Kinase;Nucleotide-binding;Threonine biosynthesis;Transferase	phosphorylation [GO:0016310];threonine biosynthetic process [GO:0009088]	cytoplasm [GO:0005737]	ATP binding [GO:0005524];homoserine kinase activity [GO:0004413]			0.627688316853345	0.701031496062992	0.0888252258300781	0.0832157896891396	A6T4E3	A6T4E3
35.5484008789063	35.4877014160156	35.4309005737305	35.4458999633789	35.0452995300293	35.3376998901367	35.4393005371094	35.429500579834	35.4216003417969	35.407600402832	35.5089988708496	35.3153991699219	Amino-acid biosynthesis;Pyridoxal phosphate;Threonine biosynthesis	threonine biosynthetic process [GO:0009088]		pyridoxal phosphate binding [GO:0030170];threonine synthase activity [GO:0004795]			0.869038420349714	0.527765554553652	0.165275573730469	0.150828492907724	A6T4E4	A6T4E4
30.8295993804932	30.9764995574951	30.9918994903564	30.9409008026123	31.3754005432129	31.0084991455078	30.8166007995605	31.005199432373	30.843599319458	31.0321998596191	30.8700008392334	30.8185997009277							0.422868847509832	0.632486409155937	-0.116700172424316	-0.10396103647678	A6T4E6	A6T4E6
36.380500793457	36.3330993652344	36.2624015808105	36.3954010009766	36.4980010986328	36.3884010314941	36.336799621582	36.3459014892578	36.1287994384766	36.2644996643066	36.290599822998	36.3075981140137	Cytoplasm;Pentose shunt;Schiff base;Transferase	carbohydrate metabolic process [GO:0005975];pentose-phosphate shunt [GO:0006098]	cytoplasm [GO:0005737]	transaldolase activity [GO:0004801]			0.469860194913227	0.835714285714286	-0.0494251251220703	-0.0471802487341734	A6T4E8	A6T4E8
30.2133007049561	30.1464996337891	30.1033992767334	29.9340000152588	30.4897994995117	29.8663005828857	29.5624008178711	29.4232997894287	29.8736991882324	30.0510005950928	29.7586994171143	29.5942001342773	Molybdenum cofactor biosynthesis	Mo-molybdopterin cofactor biosynthetic process [GO:0006777]					0.492687349918518	0.433101591187271	0.26384973526001	0.212048940369342	A6T4E9	A6T4E9
36.8560981750488	36.7411003112793	37.0157012939453	36.6820983886719	36.535400390625	36.9207992553711	36.7431983947754	36.7467002868652	36.8922004699707	36.9594993591309	36.896598815918	36.8539009094238	ATP-binding;Chaperone;Nucleotide-binding;Phosphoprotein;Stress response			ATP binding [GO:0005524];ATP-dependent protein folding chaperone [GO:0140662];unfolded protein binding [GO:0051082]			0.347598935538613	0.717018649517685	0.0872249603271484	0.0787400147960022	A6T4F4	A6T4F4
32.5675010681152	32.5845985412598	32.8661003112793	32.6735000610352	32.399299621582	32.7223014831543	32.7891998291016	32.7554016113281	32.5703010559082	32.6344985961914	32.655101776123	32.6091995239258	Chaperone;Cytoplasm;DNA replication;Metal-binding;Repeat;Stress response;Zinc;Zinc-finger	DNA replication [GO:0006260];protein folding [GO:0006457];response to heat [GO:0009408]	cytoplasm [GO:0005737]	ATP binding [GO:0005524];heat shock protein binding [GO:0031072];unfolded protein binding [GO:0051082];zinc ion binding [GO:0008270]			0.0191275396163231	0.980349877149877	0.00637435913085938	0.00572628964237839	A6T4F5	A6T4F5
34.4613990783691	34.3799018859863	34.4501991271973	34.4460983276367	34.532901763916	34.5793991088867	34.7118988037109	34.6011009216309	34.4247016906738	34.617000579834	34.7365989685059	34.711498260498	Ribonucleoprotein;Ribosomal protein;RNA-binding;rRNA-binding	translation [GO:0006412]	ribonucleoprotein complex [GO:1990904];ribosome [GO:0005840]	rRNA binding [GO:0019843];structural constituent of ribosome [GO:0003735]			2.18383260813617	0.491721904761905	-0.17192554473877	-0.164963362457977	A6T4F8	A6T4F8
